payment_id,customer_id,payment_amount,failure_reason,payment_method,customer_tenure_months,past_successful_payments,past_failed_payments,historical_success_rate,time_since_last_success_days,is_subscription,days_overdue,recovery_attempts_so_far,recovered
pay_000021,cust_69694,2165.18,insufficient_funds,credit_card,36,14,0,1.0,24,1,18,3,0
pay_000022,cust_31920,398.95,insufficient_funds,credit_card,55,8,1,0.89,42,1,5,1,1
pay_000023,cust_59245,534.93,invalid_card,bank_transfer,17,4,2,0.67,1,1,11,2,1
pay_000024,cust_60179,120.28,insufficient_funds,debit_card,54,11,2,0.85,43,1,28,0,1
pay_000025,cust_64507,290.1,limit_exceeded,debit_card,17,13,1,0.93,37,0,24,0,0
pay_000026,cust_80364,558.65,technical_error,bank_transfer,32,8,2,0.8,8,1,24,1,1
pay_000027,cust_38294,158.16,invalid_card,credit_card,16,6,1,0.86,14,1,9,3,0
pay_000028,cust_43622,728.0,invalid_card,debit_card,51,11,4,0.73,103,1,29,2,0
pay_000029,cust_91846,274.23,insufficient_funds,credit_card,52,16,1,0.94,52,0,25,2,0
pay_000030,cust_97458,373.5,invalid_card,credit_card,59,3,1,0.75,5,1,12,1,0
pay_000031,cust_24351,273.94,technical_error,credit_card,46,2,0,1.0,2,1,28,1,1
pay_000032,cust_75986,3187.16,insufficient_funds,upi,23,3,2,0.6,57,1,26,1,0
pay_000033,cust_23868,493.3,insufficient_funds,credit_card,16,15,1,0.94,6,1,19,1,1
pay_000034,cust_47248,173.62,limit_exceeded,credit_card,32,6,2,0.75,2,1,16,3,0
pay_000035,cust_65179,1138.14,insufficient_funds,credit_card,2,11,0,1.0,10,1,24,2,1
pay_000036,cust_64842,147.49,invalid_card,credit_card,40,8,0,1.0,3,1,3,0,1
pay_000037,cust_79517,616.14,insufficient_funds,upi,6,12,2,0.86,52,1,15,2,1
pay_000038,cust_45295,70.45,insufficient_funds,debit_card,10,4,2,0.67,24,1,17,2,0
pay_000039,cust_91726,132.48,technical_error,bank_transfer,34,7,4,0.64,8,0,28,0,1
pay_000040,cust_14357,608.79,insufficient_funds,upi,30,10,0,1.0,4,0,7,1,0
pay_000041,cust_93608,1046.36,invalid_card,upi,51,13,1,0.93,109,1,27,1,0
pay_000042,cust_66601,593.46,insufficient_funds,credit_card,36,9,2,0.82,2,1,27,3,1
pay_000043,cust_73031,445.39,insufficient_funds,credit_card,6,14,2,0.88,51,0,9,3,0
pay_000044,cust_28616,370.0,limit_exceeded,debit_card,45,18,2,0.9,9,1,17,1,1
pay_000045,cust_15589,113.99,invalid_card,debit_card,33,23,3,0.88,7,1,4,3,1
pay_000046,cust_34490,243.41,limit_exceeded,debit_card,5,3,2,0.6,7,1,27,1,0
pay_000047,cust_64543,315.44,limit_exceeded,credit_card,56,14,1,0.93,101,1,11,2,0
pay_000048,cust_47370,1439.04,limit_exceeded,bank_transfer,28,2,3,0.4,15,1,10,1,0
pay_000049,cust_22521,705.02,technical_error,credit_card,7,19,4,0.83,47,1,26,3,0
pay_000050,cust_61722,85.76,insufficient_funds,credit_card,46,13,2,0.87,6,1,7,2,0
pay_000051,cust_99830,691.38,limit_exceeded,debit_card,59,9,3,0.75,46,1,20,2,0
pay_000052,cust_15021,340.2,insufficient_funds,credit_card,19,6,1,0.86,50,1,11,2,0
pay_000053,cust_76349,254.09,insufficient_funds,credit_card,43,21,0,1.0,34,1,29,1,1
pay_000054,cust_69834,921.76,insufficient_funds,credit_card,50,11,1,0.92,30,1,19,2,0
pay_000055,cust_17291,1401.93,insufficient_funds,credit_card,50,3,1,0.75,33,1,28,0,1
pay_000056,cust_59959,1268.88,invalid_card,credit_card,26,12,1,0.92,111,1,18,0,0
pay_000057,cust_87473,216.02,insufficient_funds,credit_card,53,19,1,0.95,50,0,3,0,1
pay_000058,cust_52534,367.01,insufficient_funds,debit_card,56,10,2,0.83,52,1,11,0,1
pay_000059,cust_27280,696.36,insufficient_funds,debit_card,38,17,2,0.89,15,1,2,1,0
pay_000060,cust_79680,1326.31,insufficient_funds,debit_card,38,8,2,0.8,1,1,13,1,0
pay_000061,cust_81976,309.65,technical_error,debit_card,39,13,2,0.87,31,1,10,0,1
pay_000062,cust_10559,415.28,insufficient_funds,credit_card,17,16,3,0.84,32,0,13,2,0
pay_000063,cust_84381,165.38,insufficient_funds,credit_card,19,8,2,0.8,14,0,20,2,1
pay_000064,cust_63325,151.17,insufficient_funds,upi,27,22,1,0.96,35,1,14,1,1
pay_000065,cust_72688,1126.8,insufficient_funds,debit_card,37,12,1,0.92,95,0,15,0,1
pay_000066,cust_42988,1940.79,invalid_card,credit_card,7,3,1,0.75,29,0,2,1,0
pay_000067,cust_37760,465.26,insufficient_funds,bank_transfer,38,8,1,0.89,39,1,4,0,1
pay_000068,cust_78690,1363.95,insufficient_funds,debit_card,17,27,0,1.0,49,1,29,2,1
pay_000069,cust_82037,717.84,insufficient_funds,credit_card,57,8,2,0.8,5,0,10,0,1
pay_000070,cust_20505,262.3,insufficient_funds,bank_transfer,29,15,1,0.94,16,0,25,2,0
pay_000071,cust_70785,717.67,limit_exceeded,credit_card,51,15,1,0.94,35,1,14,2,1
pay_000072,cust_96564,2327.72,insufficient_funds,bank_transfer,44,9,0,1.0,17,1,5,3,0
pay_000073,cust_86618,482.4,technical_error,credit_card,39,11,0,1.0,23,0,19,0,1
pay_000074,cust_95029,2390.49,technical_error,credit_card,44,7,0,1.0,38,1,1,3,1
pay_000075,cust_52714,36.41,insufficient_funds,debit_card,17,4,0,1.0,49,1,19,2,0
pay_000076,cust_21113,1137.41,limit_exceeded,credit_card,15,6,3,0.67,25,0,25,2,0
pay_000077,cust_80241,545.47,technical_error,credit_card,16,24,1,0.96,14,1,15,0,0
pay_000078,cust_80824,370.78,invalid_card,upi,33,5,0,1.0,5,0,11,2,0
pay_000079,cust_85502,548.05,insufficient_funds,credit_card,11,7,1,0.88,11,1,28,1,1
pay_000080,cust_81955,68.51,invalid_card,bank_transfer,33,21,0,1.0,19,1,18,2,0
pay_000081,cust_46030,401.39,insufficient_funds,debit_card,32,7,0,1.0,5,1,24,1,1
pay_000082,cust_77551,714.6,insufficient_funds,upi,45,14,0,1.0,2,1,19,2,0
pay_000083,cust_94438,2191.85,technical_error,debit_card,28,11,1,0.92,6,0,16,2,1
pay_000084,cust_42507,297.77,technical_error,debit_card,20,10,1,0.91,24,1,24,3,0
pay_000085,cust_96444,222.76,insufficient_funds,credit_card,49,9,0,1.0,17,1,5,2,1
pay_000086,cust_84685,302.73,technical_error,debit_card,29,10,4,0.71,40,0,19,3,0
pay_000087,cust_67520,1248.89,technical_error,credit_card,16,17,1,0.94,13,0,29,1,0
pay_000088,cust_42237,694.62,insufficient_funds,credit_card,30,12,0,1.0,13,1,9,0,1
pay_000089,cust_84737,294.37,insufficient_funds,credit_card,17,4,2,0.67,1,0,18,1,0
pay_000090,cust_52250,835.37,insufficient_funds,credit_card,57,16,2,0.89,8,0,15,0,0
pay_000091,cust_67327,550.97,technical_error,credit_card,14,12,2,0.86,17,0,26,0,0
pay_000092,cust_38444,1317.19,technical_error,upi,24,7,2,0.78,30,1,10,1,1
pay_000093,cust_45330,247.78,insufficient_funds,credit_card,37,18,2,0.9,10,0,17,1,0
pay_000094,cust_33237,360.3,invalid_card,credit_card,13,15,2,0.88,23,1,9,1,1
pay_000095,cust_75651,337.82,technical_error,bank_transfer,18,5,4,0.56,11,1,17,2,0
pay_000096,cust_91638,115.71,technical_error,debit_card,7,3,2,0.6,23,1,8,1,1
pay_000097,cust_83842,672.32,insufficient_funds,bank_transfer,49,23,3,0.88,21,0,22,3,0
pay_000098,cust_28887,649.15,invalid_card,bank_transfer,11,19,1,0.95,41,1,29,0,0
pay_000099,cust_63441,502.56,technical_error,credit_card,57,15,0,1.0,12,1,28,1,1
pay_000100,cust_44461,395.45,insufficient_funds,bank_transfer,17,10,2,0.83,18,1,17,2,0
pay_000101,cust_95191,121.42,insufficient_funds,credit_card,19,23,1,0.96,2,1,24,0,1
pay_000102,cust_45866,328.31,technical_error,bank_transfer,6,6,1,0.86,21,1,14,2,1
pay_000103,cust_52868,354.92,insufficient_funds,debit_card,52,18,0,1.0,57,1,23,2,1
pay_000104,cust_78039,224.15,technical_error,debit_card,18,12,2,0.86,39,1,25,1,1
pay_000105,cust_76301,425.52,insufficient_funds,upi,53,7,2,0.78,48,0,16,3,0
pay_000106,cust_29896,748.94,insufficient_funds,upi,10,14,1,0.93,10,1,10,2,1
pay_000107,cust_64180,3297.08,insufficient_funds,debit_card,1,28,1,0.97,48,1,17,1,1
pay_000108,cust_65230,595.37,insufficient_funds,debit_card,1,8,2,0.8,41,1,14,3,0
pay_000109,cust_29805,646.88,insufficient_funds,credit_card,47,8,1,0.89,61,1,17,3,1
pay_000110,cust_73522,464.13,invalid_card,upi,59,14,0,1.0,17,0,19,0,0
pay_000111,cust_50461,73.39,insufficient_funds,credit_card,38,1,5,0.17,66,1,22,0,0
pay_000112,cust_69260,486.92,limit_exceeded,upi,27,17,3,0.85,1,1,24,1,0
pay_000113,cust_85299,531.04,invalid_card,debit_card,25,22,1,0.96,9,1,19,3,0
pay_000114,cust_43683,5871.41,insufficient_funds,credit_card,26,13,1,0.93,57,0,5,1,0
pay_000115,cust_93823,412.5,insufficient_funds,debit_card,39,17,1,0.94,28,0,21,0,1
pay_000116,cust_87394,675.97,invalid_card,upi,10,6,2,0.75,42,1,12,2,0
pay_000117,cust_78702,482.94,insufficient_funds,bank_transfer,36,12,1,0.92,27,1,16,2,0
pay_000118,cust_16196,155.39,insufficient_funds,credit_card,46,18,2,0.9,1,1,1,1,1
pay_000119,cust_62273,1567.8,technical_error,bank_transfer,8,7,0,1.0,61,1,2,0,1
pay_000120,cust_18880,1060.55,insufficient_funds,bank_transfer,33,6,3,0.67,30,1,11,3,0
pay_000121,cust_80731,1102.84,insufficient_funds,upi,29,11,2,0.85,13,1,14,2,0
pay_000122,cust_93589,201.39,invalid_card,upi,53,23,1,0.96,80,1,27,2,0
pay_000123,cust_73729,2033.27,invalid_card,debit_card,34,10,2,0.83,7,1,29,0,0
pay_000124,cust_72446,123.07,insufficient_funds,credit_card,27,13,3,0.81,12,1,6,0,0
pay_000125,cust_94048,899.16,technical_error,debit_card,51,5,2,0.71,10,0,10,1,1
pay_000126,cust_91772,4469.64,invalid_card,upi,42,4,1,0.8,36,0,20,1,0
pay_000127,cust_97707,185.69,invalid_card,bank_transfer,4,5,0,1.0,1,0,1,2,1
pay_000128,cust_15180,283.81,insufficient_funds,debit_card,49,9,0,1.0,12,1,29,3,1
pay_000129,cust_48358,552.39,limit_exceeded,upi,48,6,2,0.75,6,1,13,3,0
pay_000130,cust_77361,302.21,insufficient_funds,upi,5,7,0,1.0,11,1,10,3,1
pay_000131,cust_99809,106.05,invalid_card,credit_card,42,16,4,0.8,12,1,16,0,0
pay_000132,cust_47994,535.48,insufficient_funds,credit_card,54,12,0,1.0,50,1,12,2,1
pay_000133,cust_17418,172.83,technical_error,upi,11,12,0,1.0,58,1,8,1,0
pay_000134,cust_94462,802.88,insufficient_funds,credit_card,1,16,0,1.0,61,1,14,3,1
pay_000135,cust_69123,199.37,insufficient_funds,credit_card,13,11,0,1.0,42,0,29,3,0
pay_000136,cust_10352,2355.58,technical_error,debit_card,20,11,2,0.85,1,1,22,0,1
pay_000137,cust_13076,228.46,insufficient_funds,upi,34,8,1,0.89,1,0,22,0,0
pay_000138,cust_74461,362.33,insufficient_funds,debit_card,33,5,2,0.71,27,1,23,2,0
pay_000139,cust_94085,1127.91,invalid_card,upi,14,17,1,0.94,7,1,7,3,0
pay_000140,cust_94387,146.02,technical_error,credit_card,53,12,3,0.8,12,1,7,0,1
pay_000141,cust_68275,627.7,insufficient_funds,credit_card,12,11,1,0.92,7,0,4,2,0
pay_000142,cust_81371,1847.8,insufficient_funds,debit_card,11,9,2,0.82,2,1,8,0,1
pay_000143,cust_48913,100.2,limit_exceeded,upi,1,22,2,0.92,5,1,1,1,0
pay_000144,cust_76198,601.39,invalid_card,debit_card,46,18,3,0.86,25,1,12,2,0
pay_000145,cust_27353,648.39,insufficient_funds,credit_card,8,14,1,0.93,2,0,25,0,0
pay_000146,cust_89433,1092.73,technical_error,debit_card,18,19,2,0.9,9,1,11,1,1
pay_000147,cust_58158,145.13,invalid_card,upi,5,20,2,0.91,20,1,11,0,0
pay_000148,cust_87947,133.51,insufficient_funds,credit_card,31,5,0,1.0,6,1,20,3,0
pay_000149,cust_10836,842.65,insufficient_funds,credit_card,3,10,1,0.91,10,0,29,0,0
pay_000150,cust_19774,672.9,insufficient_funds,debit_card,22,16,1,0.94,3,1,4,1,1
pay_000151,cust_89417,642.33,technical_error,credit_card,6,12,1,0.92,62,1,22,3,0
pay_000152,cust_55157,707.02,insufficient_funds,debit_card,24,10,2,0.83,9,1,14,0,1
pay_000153,cust_34934,253.3,insufficient_funds,credit_card,27,10,0,1.0,49,1,8,0,1
pay_000154,cust_28479,630.72,technical_error,credit_card,21,6,3,0.67,12,1,3,2,0
pay_000155,cust_41669,670.27,insufficient_funds,credit_card,37,1,4,0.2,6,1,17,3,0
pay_000156,cust_22380,244.75,invalid_card,credit_card,53,22,2,0.92,42,1,20,0,0
pay_000157,cust_65496,3230.47,insufficient_funds,credit_card,57,11,1,0.92,23,0,25,3,0
pay_000158,cust_20120,803.07,invalid_card,upi,34,8,2,0.8,26,1,28,3,0
pay_000159,cust_61073,151.91,insufficient_funds,credit_card,35,13,1,0.93,7,1,5,3,1
pay_000160,cust_31128,964.07,insufficient_funds,debit_card,36,9,3,0.75,99,1,17,1,1
pay_000161,cust_62586,188.66,invalid_card,upi,55,9,3,0.75,20,1,23,0,1
pay_000162,cust_90520,1098.49,invalid_card,credit_card,26,11,2,0.85,15,0,10,2,0
pay_000163,cust_50919,1592.73,invalid_card,credit_card,1,4,3,0.57,112,1,1,1,0
pay_000164,cust_56187,220.07,invalid_card,debit_card,48,5,1,0.83,25,1,27,2,0
pay_000165,cust_85339,1310.26,invalid_card,credit_card,19,12,1,0.92,61,1,12,3,0
pay_000166,cust_55234,755.51,invalid_card,debit_card,26,8,0,1.0,14,0,3,3,0
pay_000167,cust_29240,1137.59,invalid_card,upi,23,4,1,0.8,2,1,11,0,0
pay_000168,cust_70792,3332.24,invalid_card,credit_card,40,7,0,1.0,1,0,18,3,0
pay_000169,cust_35604,391.2,invalid_card,debit_card,34,7,1,0.88,67,1,19,3,0
pay_000170,cust_72860,235.3,invalid_card,bank_transfer,27,9,1,0.9,96,1,8,2,0
pay_000171,cust_15999,205.43,insufficient_funds,credit_card,3,13,1,0.93,15,1,15,3,0
pay_000172,cust_83820,221.14,insufficient_funds,credit_card,46,20,2,0.91,21,1,5,0,1
pay_000173,cust_34676,462.9,insufficient_funds,debit_card,39,12,1,0.92,12,1,15,3,0
pay_000174,cust_50027,703.28,limit_exceeded,bank_transfer,13,31,1,0.97,32,1,2,1,1
pay_000175,cust_37944,659.38,technical_error,credit_card,39,7,2,0.78,61,1,12,2,1
pay_000176,cust_60508,1143.43,invalid_card,credit_card,16,9,0,1.0,81,1,8,1,1
pay_000177,cust_84187,506.54,insufficient_funds,credit_card,3,13,2,0.87,3,1,27,0,0
pay_000178,cust_83807,2139.1,insufficient_funds,credit_card,26,17,0,1.0,16,1,26,1,1
pay_000179,cust_21956,383.73,technical_error,credit_card,5,26,0,1.0,1,1,4,2,1
pay_000180,cust_38660,7591.45,technical_error,credit_card,55,9,1,0.9,1,0,17,0,1
pay_000181,cust_97461,934.75,insufficient_funds,debit_card,3,9,2,0.82,34,1,24,1,0
pay_000182,cust_29162,212.18,technical_error,bank_transfer,56,11,2,0.85,16,0,11,3,1
pay_000183,cust_48975,171.35,insufficient_funds,upi,28,17,0,1.0,20,1,17,1,0
pay_000184,cust_88208,810.04,insufficient_funds,upi,47,27,1,0.96,34,1,26,2,0
pay_000185,cust_31901,399.87,technical_error,credit_card,52,4,2,0.67,95,0,23,3,0
pay_000186,cust_21084,1021.07,invalid_card,credit_card,43,12,4,0.75,7,0,1,0,0
pay_000187,cust_69831,802.59,technical_error,debit_card,30,20,1,0.95,14,0,19,0,1
pay_000188,cust_10392,464.88,insufficient_funds,debit_card,23,9,4,0.69,16,1,3,0,1
pay_000189,cust_48220,214.39,insufficient_funds,debit_card,18,8,2,0.8,6,1,21,0,0
pay_000190,cust_74451,109.92,insufficient_funds,credit_card,5,4,2,0.67,35,1,16,3,0
pay_000191,cust_34453,319.93,insufficient_funds,debit_card,22,23,0,1.0,38,1,16,3,0
pay_000192,cust_44754,1177.33,invalid_card,credit_card,45,4,2,0.67,16,1,25,2,0
pay_000193,cust_85399,619.37,insufficient_funds,debit_card,1,5,0,1.0,16,1,24,0,0
pay_000194,cust_85601,143.86,insufficient_funds,credit_card,27,12,1,0.92,42,1,8,0,0
pay_000195,cust_93984,594.54,insufficient_funds,upi,14,14,3,0.82,9,1,11,0,1
pay_000196,cust_63601,735.04,technical_error,credit_card,41,4,0,1.0,24,1,10,3,1
pay_000197,cust_11497,206.59,invalid_card,bank_transfer,9,5,2,0.71,12,1,10,1,0
pay_000198,cust_99085,583.09,invalid_card,upi,4,8,1,0.89,6,1,28,0,0
pay_000199,cust_26658,529.97,insufficient_funds,upi,53,9,2,0.82,1,1,27,3,0
pay_000200,cust_69700,159.44,insufficient_funds,bank_transfer,25,5,1,0.83,29,1,12,2,0
pay_000201,cust_38947,715.08,insufficient_funds,credit_card,31,4,2,0.67,37,1,23,2,0
pay_000202,cust_62878,876.02,insufficient_funds,debit_card,58,13,2,0.87,119,1,15,2,0
pay_000203,cust_10569,1476.84,insufficient_funds,upi,59,9,2,0.82,166,1,2,1,1
pay_000204,cust_18000,1434.27,insufficient_funds,credit_card,32,4,2,0.67,5,1,19,1,0
pay_000205,cust_10960,126.08,invalid_card,debit_card,2,1,0,1.0,170,0,17,0,0
pay_000206,cust_28803,195.74,limit_exceeded,credit_card,48,17,1,0.94,47,1,15,2,1
pay_000207,cust_85471,836.85,insufficient_funds,debit_card,37,10,2,0.83,39,0,4,3,0
pay_000208,cust_44192,835.8,technical_error,bank_transfer,52,9,0,1.0,82,0,15,2,1
pay_000209,cust_50278,836.86,insufficient_funds,debit_card,50,27,1,0.96,49,1,20,1,1
pay_000210,cust_18765,23560.8,invalid_card,credit_card,2,6,1,0.86,1,1,21,3,0
pay_000211,cust_49404,884.92,invalid_card,bank_transfer,14,12,4,0.75,47,1,16,2,0
pay_000212,cust_97440,1556.47,limit_exceeded,credit_card,15,6,1,0.86,45,1,18,3,0
pay_000213,cust_64906,1298.04,insufficient_funds,upi,25,16,2,0.89,14,1,27,0,1
pay_000214,cust_11975,959.1,insufficient_funds,bank_transfer,10,15,2,0.88,16,1,29,2,0
pay_000215,cust_53817,364.8,insufficient_funds,upi,28,7,1,0.88,11,0,1,3,0
pay_000216,cust_97187,1068.04,insufficient_funds,debit_card,48,5,3,0.62,182,1,12,0,0
pay_000217,cust_18083,230.85,limit_exceeded,upi,8,10,4,0.71,34,0,20,2,0
pay_000218,cust_34707,394.57,technical_error,debit_card,58,18,2,0.9,45,1,13,2,1
pay_000219,cust_99103,307.74,technical_error,debit_card,58,17,2,0.89,29,1,2,2,1
pay_000220,cust_36146,542.66,invalid_card,credit_card,56,4,1,0.8,44,1,25,0,0
pay_000221,cust_82343,5060.73,technical_error,credit_card,56,10,1,0.91,12,1,18,3,1
pay_000222,cust_94400,77.27,insufficient_funds,upi,53,7,4,0.64,20,1,15,3,0
pay_000223,cust_95519,993.14,insufficient_funds,debit_card,14,8,2,0.8,1,0,17,2,0
pay_000224,cust_72332,99.67,technical_error,debit_card,20,13,2,0.87,2,0,9,2,1
pay_000225,cust_76257,311.9,insufficient_funds,debit_card,42,7,3,0.7,71,1,21,1,1
pay_000226,cust_29686,1485.58,insufficient_funds,upi,13,14,2,0.88,68,1,19,1,0
pay_000227,cust_59224,533.2,insufficient_funds,upi,19,6,3,0.67,3,1,23,1,0
pay_000228,cust_18625,170.18,invalid_card,credit_card,34,14,3,0.82,30,0,22,3,0
pay_000229,cust_87068,244.52,invalid_card,credit_card,26,2,2,0.5,20,1,8,1,0
pay_000230,cust_76866,986.54,insufficient_funds,credit_card,37,5,7,0.42,31,0,20,3,0
pay_000231,cust_47651,240.87,technical_error,debit_card,46,12,2,0.86,209,1,21,0,1
pay_000232,cust_98737,620.84,technical_error,credit_card,24,8,1,0.89,33,0,4,0,1
pay_000233,cust_93685,523.31,limit_exceeded,upi,53,20,1,0.95,4,0,19,3,0
pay_000234,cust_82467,260.61,invalid_card,credit_card,55,12,0,1.0,38,0,27,1,0
pay_000235,cust_22263,4266.51,technical_error,credit_card,21,15,2,0.88,18,1,2,1,1
pay_000236,cust_81520,942.49,technical_error,upi,58,5,1,0.83,30,1,23,1,1
pay_000237,cust_46576,65.99,insufficient_funds,credit_card,57,20,0,1.0,1,1,3,1,1
pay_000238,cust_59034,602.48,insufficient_funds,debit_card,24,0,1,0.0,45,1,22,2,0
pay_000239,cust_31762,257.96,insufficient_funds,bank_transfer,8,5,4,0.56,77,1,20,0,0
pay_000240,cust_14082,1172.67,insufficient_funds,debit_card,33,6,2,0.75,69,0,1,3,0
pay_000241,cust_56320,226.35,insufficient_funds,upi,5,15,1,0.94,8,1,28,0,0
pay_000242,cust_95445,445.8,insufficient_funds,upi,25,18,3,0.86,31,0,5,0,1
pay_000243,cust_95776,828.48,insufficient_funds,credit_card,43,3,3,0.5,17,1,13,0,0
pay_000244,cust_15648,1188.4,insufficient_funds,debit_card,40,4,1,0.8,10,0,15,2,0
pay_000245,cust_37941,150.55,insufficient_funds,credit_card,17,6,1,0.86,13,1,17,2,1
pay_000246,cust_34848,357.85,technical_error,credit_card,25,20,0,1.0,108,1,16,2,1
pay_000247,cust_80346,310.96,technical_error,credit_card,42,14,5,0.74,34,1,26,3,0
pay_000248,cust_79264,260.16,invalid_card,debit_card,46,3,0,1.0,7,1,20,2,0
pay_000249,cust_41342,2922.11,insufficient_funds,upi,33,11,2,0.85,27,1,20,3,0
pay_000250,cust_24721,749.64,insufficient_funds,upi,5,10,0,1.0,1,1,2,3,0
pay_000251,cust_69115,141.7,insufficient_funds,debit_card,15,11,1,0.92,25,1,24,2,0
pay_000252,cust_79006,1251.97,insufficient_funds,credit_card,42,16,2,0.89,7,1,12,2,1
pay_000253,cust_81948,4174.56,technical_error,debit_card,15,8,3,0.73,21,1,25,2,0
pay_000254,cust_83799,1403.99,insufficient_funds,upi,1,29,4,0.88,36,0,4,1,0
pay_000255,cust_47359,109.42,technical_error,credit_card,56,11,3,0.79,7,1,14,2,0
pay_000256,cust_30154,308.08,technical_error,credit_card,43,18,5,0.78,20,0,26,1,1
pay_000257,cust_51093,1774.94,insufficient_funds,debit_card,18,20,2,0.91,2,1,25,1,0
pay_000258,cust_60280,246.4,invalid_card,debit_card,6,21,1,0.95,4,1,14,0,0
pay_000259,cust_10235,779.32,insufficient_funds,upi,34,13,3,0.81,38,1,11,0,1
pay_000260,cust_98004,1084.9,insufficient_funds,debit_card,2,10,0,1.0,74,1,11,2,0
pay_000261,cust_34826,197.88,invalid_card,credit_card,17,3,1,0.75,20,1,24,3,0
pay_000262,cust_83503,471.11,limit_exceeded,credit_card,54,9,1,0.9,6,0,16,2,0
pay_000263,cust_61446,19.56,technical_error,bank_transfer,5,15,1,0.94,17,1,29,0,1
pay_000264,cust_11453,179.51,limit_exceeded,credit_card,20,19,1,0.95,33,1,2,3,1
pay_000265,cust_51579,388.4,insufficient_funds,credit_card,14,13,2,0.87,124,1,21,0,0
pay_000266,cust_84619,143.57,insufficient_funds,upi,12,12,0,1.0,58,0,10,0,1
pay_000267,cust_16425,2558.1,insufficient_funds,debit_card,4,5,2,0.71,48,1,16,2,0
pay_000268,cust_92817,119.64,insufficient_funds,debit_card,41,7,1,0.88,40,0,27,1,1
pay_000269,cust_93797,322.0,insufficient_funds,debit_card,59,11,1,0.92,58,1,1,2,0
pay_000270,cust_73663,569.84,invalid_card,bank_transfer,50,15,3,0.83,22,0,23,1,0
pay_000271,cust_82879,2113.04,invalid_card,credit_card,10,14,0,1.0,1,1,26,2,0
pay_000272,cust_33277,118.96,limit_exceeded,debit_card,39,16,2,0.89,22,0,20,2,0
pay_000273,cust_99112,1600.02,limit_exceeded,debit_card,30,26,1,0.96,33,0,7,0,0
pay_000274,cust_23258,505.14,insufficient_funds,credit_card,37,4,2,0.67,14,0,10,3,0
pay_000275,cust_30842,187.37,technical_error,debit_card,47,10,2,0.83,39,1,5,2,1
pay_000276,cust_30634,793.7,insufficient_funds,upi,26,27,2,0.93,17,0,17,0,0
pay_000277,cust_36309,610.13,insufficient_funds,debit_card,45,9,1,0.9,1,1,16,2,1
pay_000278,cust_34340,274.35,technical_error,upi,46,10,1,0.91,16,1,21,3,1
pay_000279,cust_28727,536.15,insufficient_funds,debit_card,57,12,1,0.92,65,1,8,1,0
pay_000280,cust_98100,340.12,technical_error,upi,4,6,2,0.75,44,1,19,1,1
pay_000281,cust_44308,560.11,invalid_card,upi,6,14,2,0.88,14,1,5,2,0
pay_000282,cust_89521,969.46,technical_error,debit_card,15,12,2,0.86,31,1,9,3,0
pay_000283,cust_37252,2442.13,limit_exceeded,upi,45,14,2,0.88,28,0,7,1,0
pay_000284,cust_33019,145.01,invalid_card,debit_card,45,23,1,0.96,41,0,16,3,0
pay_000285,cust_82407,4220.22,insufficient_funds,debit_card,18,1,0,1.0,9,1,18,0,1
pay_000286,cust_75732,70.99,insufficient_funds,debit_card,17,7,3,0.7,23,1,6,1,1
pay_000287,cust_49861,429.59,insufficient_funds,credit_card,33,33,0,1.0,9,1,6,3,1
